Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A727902,*Jake,6/6/2016 19:48,Jun-16,5/27/2010,Adoption,,Dog,Neutered Male,6 years,Pug Mix,Black/White
A805553,,10/1/2019 17:17,Oct-19,5/28/2019,Adoption,,Dog,Spayed Female,4 months,Beagle/Dachshund,Black/Tricolor
A810834,Amigo,1/14/2020 13:54,Jan-20,12/21/2017,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull/Australian Cattle Dog,Chocolate/Tan
A789482,Mclaren,2/26/2019 16:21,Feb-19,12/18/2018,Adoption,,Dog,Neutered Male,2 months,Boxer/Australian Cattle Dog,Brown Brindle/White
A661916,Bella,4/2/2014 17:42,Apr-14,8/27/2011,Euthanasia,Aggressive,Dog,Spayed Female,2 years,Pit Bull Mix,White/Brown
A801634,Simba,10/15/2019 18:21,Oct-19,4/6/2019,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,White/Brown Tabby
A783891,Elizabeth T,1/16/2019 11:28,Jan-19,11/8/2015,Adoption,Foster,Dog,Spayed Female,3 years,Border Terrier,Black/Tan
A771760,,5/12/2018 19:32,May-18,5/9/2017,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A747746,*Hops,5/28/2017 17:44,May-17,4/24/2016,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A842461,*Ruby,10/27/2021 9:50,Oct-21,8/5/2021,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A681272,Chucky,6/17/2014 13:29,Jun-14,6/14/2011,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
A711258,Cash,11/3/2015 19:38,Nov-15,9/4/2012,Adoption,,Dog,Neutered Male,3 years,Boxer Mix,White/Brown Brindle
A697903,,3/4/2015 9:00,Mar-15,11/18/2014,Transfer,SCRP,Cat,Unknown,3 months,Siamese Mix,Lynx Point
A689065,,9/29/2014 13:08,Sep-14,8/9/2014,Transfer,Partner,Dog,Intact Female,1 month,Flat Coat Retriever/Pit Bull,Buff
A676139,*Iona,3/8/2017 7:51,Mar-17,4/9/2008,Adoption,Foster,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White
A676256,Maxey,4/7/2014 18:49,Apr-14,4/7/1999,Return to Owner,,Cat,Spayed Female,15 years,Domestic Shorthair Mix,Torbie
A667657,Rye,12/1/2013 13:10,Dec-13,11/20/2006,Adoption,,Dog,Neutered Male,7 years,Mastiff Mix,Brown Brindle/White
A798215,,6/24/2019 18:06,Jun-19,6/23/2017,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon,Brown/Black
A878874,A878874,4/22/2023 10:44,Apr-23,4/18/2022,Died,In Kennel,Bird,Unknown,1 year,Parakeet,Green
A774385,,6/30/2018 16:45,Jun-18,4/7/2018,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A771075,,6/23/2018 20:16,Jun-18,4/15/2018,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A679944,,6/1/2014 17:40,Jun-14,5/28/2012,Transfer,Partner,Dog,Spayed Female,2 years,Cairn Terrier Mix,White/Buff
A698183,*Eleanor,3/12/2015 16:13,Mar-15,3/6/2013,Euthanasia,Suffering,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle
A729125,Auburn,6/19/2016 16:36,Jun-16,7/13/2015,Adoption,,Dog,Spayed Female,11 months,Golden Retriever/Bearded Collie,Red/White
A726827,Sweet Pea,5/29/2017 17:07,May-17,4/15/2016,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
A662741,*Todd,10/5/2013 12:42,Oct-13,8/11/2013,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A796941,*Carrot,8/3/2019 14:40,Aug-19,4/27/2019,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Cream Tabby
A718387,*Jack Frost,1/16/2016 16:12,Jan-16,12/29/2006,Adoption,,Dog,Neutered Male,9 years,American Eskimo Mix,Cream
A837504,,6/27/2021 14:11,Jun-21,5/14/2021,Transfer,Partner,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Black/Tricolor
A737776,,11/8/2016 18:16,Nov-16,1/4/2016,Adoption,,Dog,Spayed Female,10 months,Yorkshire Terrier Mix,Black/Brown
A767108,Dotty,5/6/2018 19:36,May-18,2/23/2015,Adoption,,Dog,Spayed Female,3 years,Boston Terrier Mix,White/Blue
A792484,Taros,5/31/2020 13:00,May-20,4/11/2018,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Cream
A731104,*Zakarin,9/20/2016 11:28,Sep-16,4/20/2016,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
A842306,*Lemondrop,9/24/2021 18:37,Sep-21,9/13/2020,Adoption,,Dog,Spayed Female,1 year,Vizsla Mix,Red/White
A784970,Ziggy,3/16/2019 11:31,Mar-19,5/24/2018,Return to Owner,,Dog,Neutered Male,9 months,Pit Bull Mix,White/Black
A771103,,6/23/2018 17:45,Jun-18,3/16/2018,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue
A777152,,7/24/2018 0:00,Jul-18,7/20/2018,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Brown Tabby
A873968,Homegirl,2/4/2023 11:11,Feb-23,8/4/2021,Return to Owner,,Dog,Intact Female,1 year,Bluetick Hound Mix,Blue Tick
